rank,user,score,label
1,GTD0219,0.999995,1
2,JGT0221,0.999909,1
3,JTM0223,0.999798,1
4,MSO0222,0.999415,1
5,BBS0039,0.997919,1
6,BDV0168,0.996459,1
7,JMB0308,0.995694,1
8,AKR0057,0.995187,1
9,AJR0932,0.994498,1
10,FMG0527,0.991389,1
11,RGG0064,0.984731,1
12,RMW0542,0.984526,1
13,IUB0565,0.977639,1
14,JRG0207,0.970004,1
15,RHL0992,0.969006,1
16,JJM0203,0.968510,1
17,RKD0604,0.968373,1
18,DRR0162,0.966260,1
19,XHW0498,0.965477,1
20,AAM0658,0.962930,1
21,RAB0589,0.958737,1
22,CAH0936,0.958342,1
23,RRC0553,0.954694,0
24,IJM0776,0.951134,1
25,WDD0366,0.947450,1
26,AAF0535,0.944713,1
27,BTL0226,0.944529,1
28,BSS0369,0.940999,1
29,MAS0025,0.933796,1
30,TAP0551,0.930198,1
31,BIH0745,0.929859,1
32,CCL0068,0.926311,1
33,PSF0133,0.924610,1
34,GHL0460,0.923274,1
35,EHB0824,0.915901,1
36,FSC0601,0.911345,1
37,JLM0364,0.909674,1
38,EMW0772,0.908333,0
39,EGD0132,0.904756,1
40,BBG0325,0.901827,0
41,HXL0968,0.899904,1
42,LQC0479,0.899470,1
43,EHD0584,0.871088,1
44,EDB0714,0.865205,1
45,FTM0406,0.862174,1
46,LJR0523,0.845340,1
47,MAR0955,0.843552,1
48,BLS0678,0.831386,1
49,TNM0961,0.827522,1
50,IKR0401,0.827367,1
51,CSC0217,0.822520,1
52,KLH0596,0.814403,1
53,MYD0978,0.802887,1
54,CAM0681,0.798696,0
55,MTT0901,0.783688,0
56,RAR0725,0.723098,1
57,LCC0819,0.721893,1
58,WPR0368,0.715470,0
59,PNL0301,0.710271,1
60,MDH0580,0.705235,1
61,PPF0435,0.704542,1
62,DCH0843,0.703522,1
63,MLL0598,0.700707,0
64,VSS0154,0.687771,1
65,DIB0285,0.680632,1
66,KRL0501,0.674399,1
67,MOS0047,0.668459,1
68,HFB0347,0.651602,0
69,CCA0046,0.643157,1
70,CEJ0109,0.641832,1
71,CQW0652,0.631262,1
72,MPM0220,0.620092,1
73,NWT0098,0.615525,1
74,DGM0754,0.611708,0
75,EGD0409,0.593693,0
76,VFM0814,0.589105,0
77,KPC0073,0.572234,1
78,SSR0278,0.568046,0
79,HJB0742,0.522415,1
80,PMJ0564,0.514772,0
81,CRO0027,0.504379,0
82,SBN0866,0.500608,0
83,COF0120,0.461163,0
84,RAW0915,0.456310,0
85,GZB0469,0.427981,0
86,NMF0780,0.413195,0
87,IMP0530,0.412330,0
88,HGN0287,0.411036,0
89,HKF0831,0.406900,0
90,WGR0833,0.402756,0
91,XBN0229,0.401509,0
92,EWH0191,0.400263,0
93,GRC0145,0.399470,0
94,MLP0668,0.394206,0
95,MIC0726,0.391446,0
96,LHL0309,0.388743,0
97,CGB0637,0.319367,0
98,HBO0413,0.273722,1
99,NDM0417,0.209248,0
100,JHP0583,0.104457,0
101,BTN0061,0.097265,0
102,CHM0821,0.096393,0
103,AIP0982,0.084304,0
104,SEJ0677,0.070999,0
105,DAL0673,0.040314,0
106,BDB0453,0.032686,0
107,BCR0581,0.031363,0
108,WJD0576,0.017860,0
109,NBC0412,0.016778,0
110,HCW0419,0.015997,0
111,ILR0304,0.012930,0
112,SSS0345,0.012416,0
113,HDJ0446,0.011105,0
114,BMS0877,0.010930,0
115,MCF0600,0.010483,1
116,JJH0292,0.008503,0
117,DMM0623,0.007488,0
118,DIC0988,0.006578,0
119,HPH0075,0.006457,0
120,ALH0402,0.005884,0
121,ZCF0590,0.005703,0
122,JLW0053,0.005616,0
123,KKS0119,0.005592,0
124,EHR0096,0.004312,0
125,PBP0002,0.004259,0
126,SVL0940,0.003606,0
127,FBA0348,0.003401,0
128,UCH0519,0.003262,0
129,ASL0378,0.002776,0
130,TLM0797,0.002534,0
131,MIL0255,0.002516,0
132,OLF0504,0.002045,0
133,LCD0622,0.001917,0
134,BER0314,0.001579,0
135,EMB0531,0.001456,0
136,DBG0261,0.000831,0
137,NMB0972,0.000823,0
138,LMF0980,0.000759,0
139,SBD0913,0.000595,0
140,DBW0483,0.000523,0
141,MCT0720,0.000490,0
142,AIM0627,0.000232,0
143,QCH0110,0.000199,0
144,BJH0811,0.000085,0
145,DDM0579,0.000083,0
146,AAW0353,0.000062,0
147,YCE0983,0.000034,0
148,OQH0183,0.000017,0
149,AVM0947,0.000011,0
150,WAB0143,0.000009,0
151,HPR0585,0.000005,0
152,NHE0919,0.000002,0
153,ABC0174,0.000001,1
154,BJH0354,0.000000,0
155,RRA0938,0.000000,0
156,HAH0248,0.000000,0
157,LRW0970,0.000000,0
158,PRM0740,0.000000,0
159,CUD0795,0.000000,0
160,ASG0048,0.000000,0
161,NWK0215,0.000000,0
162,AJH0175,0.000000,0
163,YIC0195,0.000000,0
164,AJD0074,0.000000,0
165,YJF0532,0.000000,0
166,ALD0529,0.000000,0
167,RIH0777,0.000000,0
168,RNF0765,0.000000,0
169,CFG0959,0.000000,0
170,ATP0662,0.000000,0
