user,role,business_unit,department,team
CEL0561,ComputerProgrammer,1,2 - SoftwareManagement,3 - Software
JFC0557,SoftwareEngineer,1,2 - SoftwareManagement,3 - Software
ASD0577,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
GRM0868,Salesman,1,2 - Sales,5 - RegionalSales
AAL0706,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
RVC0232,Mathematician,1,1 - Research,1 - Lab
TCD0009,AdministrativeAssistant,1,,
ASM0575,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
FOB0756,Technician,1,3 - FieldService,4 - RegionalFieldService
GCG0951,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
AAV0450,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
CJV0286,Technician,1,3 - Engineering,5 - TestAndEvalualtion
TDG0962,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
SVL0803,Mathematician,1,1 - Research,5 - Lab
MDM0625,Salesman,1,2 - Sales,3 - RegionalSales
GMF0738,Salesman,1,2 - Sales,4 - RegionalSales
BER0314,Salesman,1,2 - Sales,1 - RegionalSales
AMR0400,SoftwareEngineer,1,2 - SoftwareManagement,2 - Software
YCE0983,ManagementTrainer,1,3 - Training,
BJW0619,Salesman,1,2 - Sales,3 - RegionalSales
TYB0779,Technician,1,3 - FieldService,4 - RegionalFieldService
KBL0260,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
HCL0651,Technician,1,3 - FieldService,3 - RegionalFieldService
SCP0130,AssemblySupervisor,1,3 - Assembly,1 - AssemblyDept
CMW0783,Technician,1,3 - FieldService,4 - RegionalFieldService
DOL0332,Technician,1,3 - FieldService,1 - RegionalFieldService
RSC0089,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
CCM0136,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
NCH0179,AdministrativeAssistant,1,3 - FieldService,1 - RegionalFieldService
NBH0256,ElectricalEngineer,1,3 - Engineering,2 - ElectricalEngineering
ORG0339,Technician,1,3 - FieldService,1 - RegionalFieldService
FRR0832,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
MSD0939,ComputerProgrammer,1,2 - SoftwareManagement,6 - Software
OQH0183,Technician,1,3 - FieldService,1 - RegionalFieldService
BSH0445,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
NGO0690,SoftwareEngineer,1,2 - SoftwareManagement,4 - Software
VCC0396,SoftwareEngineer,1,2 - SoftwareManagement,2 - Software
KPP0452,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
RTO0313,Salesman,1,2 - Sales,1 - RegionalSales
ABM0845,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
VIA0063,Manager,1,2 - SoftwareManagement,1 - Software
CCW0031,Manager,1,6 - Security,1 - BuildingSecurity
IYB0918,Scientist,1,1 - Research,6 - Lab
ORM0669,Mathematician,1,1 - Research,4 - Lab
MJB0588,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
LIM0674,Physicist,1,1 - Research,4 - Lab
LHN0151,Accountant,1,1 - Accounting,
WTR0563,ComputerProgrammer,1,2 - SoftwareManagement,3 - Software
MKS0204,Attorney,1,3 - Contracts,
AAW0353,AssemblySupervisor,1,3 - Assembly,2 - AssemblyDept
WJD0576,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
ILH0958,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
TLK0993,IndustrialEngineer,1,1 - IndustrialEngineering,
RAG0275,ElectricalEngineer,1,3 - Engineering,4 - SystemsEngineering
KWC0004,VicePresident,1,,
CJK0200,PurchasingClerk,1,2 - Pricing,
FEB0306,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
NKH0807,ComputerProgrammer,1,2 - SoftwareManagement,5 - Software
JMC0925,Physicist,1,1 - Research,6 - Lab
SBH0537,Manager,1,2 - SoftwareManagement,3 - Software
JJB0700,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
AIS0405,SoftwareEngineer,1,2 - SoftwareManagement,2 - Software
HAH0760,Technician,1,3 - FieldService,4 - RegionalFieldService
AHD0848,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
LDM0587,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
AJN0607,Salesman,1,2 - Sales,3 - RegionalSales
EIS0041,ITAdmin,1,6 - Security,2 - ElectronicSecurity
MLG0475,ProductionLineWorker,1,3 - Assembly,2 - AssemblyDept
EPW0434,TestEngineer,1,3 - Engineering,7 - TestAndEvalualtion
JAM0382,Scientist,1,1 - Research,2 - Lab
NCK0295,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
LJT0817,ComputerScientist,1,2 - SoftwareManagement,5 - Software
CAM0102,ComputerScientist,1,3 - Engineering,4 - SystemsEngineering
SOG0411,SystemsEngineer,1,3 - Engineering,6 - SystemsEngineering
KSH0569,SoftwareEngineer,1,2 - SoftwareManagement,3 - Software
BDI0533,Technician,1,3 - FieldService,2 - RegionalFieldService
PMJ0564,ComputerScientist,1,2 - SoftwareManagement,3 - Software
HGG0240,ComputerScientist,1,2 - SoftwareManagement,1 - Software
MGS0974,HumanResourceSpecialist,1,1 - Personnel,
DHM0937,ComputerProgrammer,1,2 - SoftwareManagement,6 - Software
CEB0210,SecurityGuard,1,6 - Security,1 - BuildingSecurity
YJV0699,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
BMT0528,Technician,1,3 - FieldService,2 - RegionalFieldService
CJC0494,Salesman,1,2 - Sales,2 - RegionalSales
GCS0571,ProductionLineWorker,1,3 - Assembly,3 - AssemblyDept
BJP0134,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
KBP0008,VicePresident,1,,
FLM0213,SecurityGuard,1,6 - Security,1 - BuildingSecurity
RRP0568,ComputerScientist,1,2 - SoftwareManagement,3 - Software
SAA0999,ElectricalEngineer,1,2 - ManufacturingEngineering,
THR0873,Salesman,1,2 - Sales,5 - RegionalSales
KRM0541,Scientist,1,1 - Research,3 - Lab
KSP0966,ProductionLineWorker,1,3 - Assembly,6 - AssemblyDept
LOF0311,Salesman,1,2 - Sales,1 - RegionalSales
MBR0724,ProductionLineWorker,1,3 - Assembly,4 - AssemblyDept
MLP0668,Mathematician,1,1 - Research,4 - Lab
CUD0795,Physicist,1,1 - Research,5 - Lab
GZC0735,Salesman,1,2 - Sales,4 - RegionalSales
HLH0512,Technician,1,3 - FieldService,2 - RegionalFieldService
NJB0243,MechanicalEngineer,1,3 - Engineering,1 - MechanicalEngineering
GCS0518,Technician,1,3 - FieldService,2 - RegionalFieldService
NMC0486,Salesman,1,2 - Sales,2 - RegionalSales
KMB0922,Scientist,1,1 - Research,6 - Lab
CFM0767,Technician,1,3 - FieldService,4 - RegionalFieldService
HAD0246,MechanicalEngineer,1,3 - Engineering,1 - MechanicalEngineering
ANP0555,Mathematician,1,1 - Research,3 - Lab
LBF0214,SecurityGuard,1,6 - Security,1 - BuildingSecurity
DJB0159,Director,1,1 - MarketAnalysis,
BWP0202,Attorney,1,3 - Contracts,
CQH0730,Salesman,1,2 - Sales,4 - RegionalSales
JCR0289,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
AES0827,ProductionLineWorker,1,3 - Assembly,5 - AssemblyDept
SLP0762,Technician,1,3 - FieldService,4 - RegionalFieldService
CLD0894,Technician,1,3 - FieldService,5 - RegionalFieldService
LCD0622,Salesman,1,2 - Sales,3 - RegionalSales
CMB0912,Manager,1,2 - SoftwareManagement,6 - Software
ZKS0899,Technician,1,3 - FieldService,5 - RegionalFieldService
JCV0245,MechanicalEngineer,1,3 - Engineering,1 - MechanicalEngineering
AMH0794,Physicist,1,1 - Research,5 - Lab
FKB0163,Statistician,1,1 - MarketAnalysis,
AKC0924,Scientist,1,1 - Research,6 - Lab
ILR0304,ProductionLineWorker,1,3 - Assembly,1 - AssemblyDept
